City,State,MGrid,Zip,Lat/Long
"""SAN JON",NM,DM85ic,88434,"35.11  -103.32"""
"""GLENRIO",NM,DM85ic,88434,"35.11  -103.32"""
"""SAN JOSE",NM,DM66wa,87565,"36.03  -106.09"""
"""SOHAM",NM,DM66wa,87565,"36.03  -106.09"""
"""SOUTH SAN YSIDRO",NM,DM66wa,87565,"36.03  -106.09"""
"""OHKAY OWINGEH",NM,DM66xb,87566,"36.05  -106.07"""
"""SAN JUAN PBLO",NM,DM66xb,87566,"36.05  -106.07"""
"""SAN JUAN PUEBLO",NM,DM66xb,87566,"36.05  -106.07"""
"""CHAMITA",NM,DM66xb,87566,"36.05  -106.07"""
"""EL GUIQUE",NM,DM66xb,87566,"36.05  -106.07"""
"""ESTACA",NM,DM66xb,87566,"36.05  -106.07"""
"""GUIQUE",NM,DM66xb,87566,"36.05  -106.07"""
"""PUEBLITO",NM,DM66xb,87566,"36.05  -106.07"""
"""SAN MIGUEL",NM,DM62pd,88058,"32.15  -106.73"""
"""SAN PATRICIO",NM,DM73ij,88348,"33.4  -105.32"""
"""SAN RAFAEL",NM,DM65bc,87051,"35.11  -107.88"""
"""SANTA CRUZ",NM,DM65xx,87567,"35.98  -106.01"""
"""SANTO NINO",NM,DM65xx,87567,"35.98  -106.01"""
"""SANTA FE",NM,DM75aq,87501,"35.67  -105.95"""
"""POJOAQUE",NM,DM75aq,87501,"35.67  -105.95"""
"""AGUA FRIA",NM,DM75aq,87501,"35.67  -105.95"""
"""CHUPADERO",NM,DM75aq,87501,"35.67  -105.95"""
