City,State,MGrid,Zip,Lat/Long
"""GALLUP",NM,DM55po,87375,"35.61  -108.71"""
"""GARFIELD",NM,DM62is,87936,"32.75  -107.26"""
"""GARITA",NM,DM75si,88421,"35.35  -104.48"""
"""GILA",NM,DM52rx,88038,"32.96  -108.57"""
"""GLADSTONE",NM,DM86ah,88422,"36.3  -103.97"""
"""FARLEY",NM,DM86ah,88422,"36.3  -103.97"""
"""GLENCOE",NM,DM73gj,88324,"33.4  -105.44"""
"""GLENWOOD",NM,DM53nh,88039,"33.31  -108.88"""
"""MOGOLLON",NM,DM53nh,88039,"33.31  -108.88"""
"""ALMA",NM,DM53nh,88039,"33.31  -108.88"""
"""PLEASANTON",NM,DM53nh,88039,"33.31  -108.88"""
"""GLORIETA",NM,DM75cn,87535,"35.58  -105.76"""
"""CANYONCITO",NM,DM75cn,87535,"35.58  -105.76"""
"""LA CUEVA",NM,DM75cn,87535,"35.58  -105.76"""
"""BROADVIEW",NM,DM84jt,88112,"34.81  -103.21"""
"""BELLVIEW",NM,DM84jt,88112,"34.81  -103.21"""
"""GRADY",NM,DM84it,88120,"34.82  -103.31"""
"""CAMERON",NM,DM84it,88120,"34.82  -103.31"""
"""GRANTS",NM,DM65cd,87020,"35.15  -107.83"""
"""SAN MATEO",NM,DM65cd,87020,"35.15  -107.83"""
"""AMBROSIA LAKE",NM,DM65cd,87020,"35.15  -107.83"""
"""ANACONDA",NM,DM65cd,87020,"35.15  -107.83"""
"""BROADVIEW ACRES",NM,DM65cd,87020,"35.15  -107.83"""
"""MILAN",NM,DM65be,87021,"35.18  -107.89"""
"""GRENVILLE",NM,DM86eo,88424,"36.59  -103.61"""
"""MOUNT DORA",NM,DM86eo,88424,"36.59  -103.61"""
"""MT DORA",NM,DM86eo,88424,"36.59  -103.61"""
"""SOFIA",NM,DM86eo,88424,"36.59  -103.61"""
"""GUADALUPITA",NM,DM76jd,87722,"36.13  -105.23"""
"""HACHITA",NM,DM51uv,88040,"31.91  -108.32"""
"""HAGERMAN",NM,DM73uc,88232,"33.11  -104.32"""
"""HANOVER",NM,DM52xv,88041,"32.88  -108.08"""
"""SAN LORENZO",NM,DM52xv,88041,"32.88  -108.08"""
"""FIERRO",NM,DM52xv,88041,"32.88  -108.08"""
"""SHERMAN",NM,DM52xv,88041,"32.88  -108.08"""
"""HATCH",NM,DM62kp,87937,"32.66  -107.15"""
"""RODEY",NM,DM62kp,87937,"32.66  -107.15"""
"""HIGH ROLLS MOUNTAIN PARK",NM,DM72cx,88325,"32.97  -105.79"""
"""HI RLS MTN PK",NM,DM72cx,88325,"32.97  -105.79"""
"""HI ROLLS MT PARK",NM,DM72cx,88325,"32.97  -105.79"""
"""HIGH ROLLS",NM,DM72cx,88325,"32.97  -105.79"""
"""MOUNTAIN PARK",NM,DM72cx,88325,"32.97  -105.79"""
